0,0,1756.6
0.25,0,1770.11
0.5,0,1770.11
0.75,0,1770.11
1,0,1756.6
1.25,0,1770.11
1.5,0,1783.66
1.75,0,1770.11
2,0.125,2205.01
2.25,0.25,2912.99
2.5,0.375,3653.33
2.75,0.5,4463.28
3,0.625,5058.82
3.25,0.75,5729.65
3.5,0.875,6279.81
3.75,1,6869.85
4,1.125,7414.97
4.25,1.25,7839.72
4.5,1.375,8351.25
4.75,1.5,8823.53
5,1.625,9248.12
5.25,1.75,9692.31
5.5,1.875,10157.48
5.75,2,10645.16
6,2.125,11026.69
6.25,2.25,11333.33
6.5,2.375,11787.23
6.75,2.5,12116.63
7,2.625,12505.5
7.25,2.75,12857.14
7.5,2.875,13167.42
7.75,3,13486.24
8,3.125,13703.7
8.25,3.25,13869.46
8.5,3.375,14439.14
8.75,3.5,14674.7
9,3.625,14794.19
9.25,3.75,15221.67
9.5,3.875,15098.04
9.75,4,15664.16
10,4.125,15989.85
10.25,4.25,16189.26
10.5,4.375,16391.75
10.75,4.5,15793.45
11,4.625,16736.29
11.25,4.75,16947.37
11.5,4.875,17089.95
11.75,5,17379.68
12,5.125,18131.87
12.25,5.25,17826.09
12.5,5.375,17826.09
12.75,5.5,17978.14
13,5.625,18131.87
13.25,5.75,18209.37
13.5,5.875,18365.65
13.75,6,18603.35
14,6.125,18683.48
14.25,6.25,18683.48
14.5,6.375,18926.56
14.75,6.5,18926.56
15,6.625,19008.5
15.25,6.75,19090.91
15.5,6.875,19173.79
15.75,7,19257.14
16,7,18926.56
